CD_SETOR,vol
330170220000016,69
330170220000088,207
330170220000207,207
330185005000071,69
330190005000036,138
330190005000040,69
330190005000078,69
330190005000239,69
330190005000306,69
330190005000310,69
330190005000313,69
330190015000101,69
330190018000003,138
330190018000071,69
330190018000111,69
330190018000165,69
330220535000010,69
330225405000014,69
330240305020138,138
330240305050090,69
330240305050105,69
330240305050180,69
330240305060009,69
330250205000142,138
330250205000149,138
330250220000183,69
330250220000245,138
330250220000251,69
330250230000013,69
330250230000014,138
330250230000037,69
330250230000064,138
330270005000031,69
330270005000053,69
330270015000008,138
330270020000017,138
330270020000020,207
330270020000042,69
330270020000081,69
330285805000030,276
330285805000176,207
330285805000186,69
330285815000006,828
330285815000007,69
330285815000022,69
330285815000057,138
330320305000101,138
330320305000109,69
330320305000158,69
330320305000186,69
330320310000039,69
330320310000041,138
330330205000312,69
330330205000379,69
330330205000443,69
330330205000509,69
330330205000520,138
330330205000560,69
330330205000739,69
330330205001016,69
330330205001032,69
330330205001182,621
330330205001349,621
330330205001410,69
330330205001432,69
330340105000019,138
330340105000025,69
330340105000033,69
330340105000036,690
330340105000037,69
330340105000040,138
330340105000041,69
330340105000042,69
330340105000044,276
330340105000045,483
330340105000046,207
330340105000047,69
330340105000049,207
330340105000050,345
330340105000051,69
330340105000052,483
330340105000053,138
330340105000054,690
330340105000055,345
330340105000058,69
330340105000061,138
330340105000062,69
330340105000063,138
330340105000066,69
330340105000068,138
330340105000071,345
330340105000075,828
330340105000085,69
330340105000093,207
330340105000098,69
330340105000100,207
330340105000108,345
330340105000111,207
330340105000115,69
330340105000125,207
330340105000132,69
330340105000133,345
330340105000136,138
330340105000137,138
330340105000151,207
330340105000152,69
330340105000165,69
330340105000167,69
330340105000172,138
330340105000175,69
330340105000176,69
330340105000177,276
330340105000181,69
330340105000182,69
330340105000194,69
330340105000197,69
330340105000209,69
330340105000213,69
330340105000218,69
330340105000222,69
330340105000232,69
330340105000247,138
330340105000256,138
330340105000269,207
330340105000271,69
330340105000308,138
330340105000318,138
330340105000320,69
330340105000329,207
330340105000331,69
330340105000332,138
330340105000346,69
330340105000350,69
330340105000352,69
330340105000353,69
330340105000357,414
330340105000358,69
330340105000365,69
330340105000367,69
330340105000369,69
330340105000385,69
330340105000394,69
330340105000396,966
330340105000398,69
330340105000400,138
330340105000404,69
330340105000408,69
330340105000412,69
330340105000413,138
330340105000417,69
330340105000429,69
330340105000431,69
330340105000434,138
330340110000004,69
330340110000008,69
330340110000023,138
330340110000024,207
330340110000026,69
330340115000001,138
330340115000034,207
330340115000062,690
330340120000001,345
330340120000008,69
330340120000010,207
330340120000014,897
330340120000017,621
330340120000018,138
330340120000020,138
330340120000035,69
330340120000037,138
330340120000038,69
330340120000041,138
330340120000043,69
330340120000047,69
330340120000052,138
330340120000055,345
330340120000056,138
330340120000069,69
330340120000076,138
330340120000079,207
330340120000084,69
330340120000086,69
330340120000092,69
330340120000099,138
330340120000100,138
330340120000103,69
330340120000108,138
330340120000115,276
330340120000116,69
330340120000121,276
330340120000124,414
330340120000141,828
330340120000144,69
330340120000165,69
330340125000021,69
330340125000025,138
330340125000039,207
330340127000043,69
330340130000014,69
330340130000028,138
330340130000040,207
330350005100020,69
330350005100041,69
330350005100048,414
330350005100075,138
330350005100080,69
330350005100089,207
330350005100127,69
330350005100136,69
330350005100138,69
330350005100170,207
330350005100196,69
330350005100216,69
330350005100304,1104
330350005100311,138
330350005110006,207
330350005110025,69
330350005110043,69
330350005110056,69
330350005110097,69
330350005110169,69
330350005110204,138
330350005110209,276
330350005120023,276
330350005120039,138
330350005120086,414
330350005120097,69
330350005120103,69
330350005120128,69
330350005160014,69
330350005160086,138
330350005160128,69
330350005170018,69
330350005180181,207
330350005180241,69
330350005190106,69
330350005190112,69
330350005190121,138
330350005190156,69
330390605000055,69
330390605000070,69
330390605000084,69
330390605000112,69
330390605000123,276
330390605000129,138
330390605000133,138
330390605000155,69
330390605000334,138
330390605000353,138
330390605000356,69
330390605000395,69
330390605000402,276
330390605000404,69
330390605000435,69
330390610000086,69
330390610000098,69
330390610000130,69
330390610000204,828
330390615000095,345
330390620000011,69
